gene,log2FC_tumor_vs_normal,pvalue,FDR
SLC25A13,-0.529249177926006,0.00819163261676534,0.03569554942050233
ST7,-0.05646059862473596,0.7875397912988541,0.8568630752232768
CDC27,1.2430379391446502,0.0037860990895333853,0.020522212942170215
SLC4A1,0.6185217490263938,0.02095594251453921,0.06753889234400402
CALCR,0.2753574887098814,0.020574348449532653,0.06671832376476708
HCCS,-0.44698315956509194,0.027246801455189075,0.08035307639712254
DVL2,-0.2505234620564236,0.30496814284095675,0.44120715050515036
PRSS22,-1.1118585771782077,0.00736995430745776,0.03324416437100749
UPF1,-0.8542810380325108,0.0020135361212016314,0.012875612142510465
SKAP2,0.644086026256474,0.004392289322222988,0.022982616713886385
SLC25A5,-0.49459678636462456,0.13435532873152367,0.2445678287153485
CCDC109B,-0.8474375133409748,0.0006488414878367952,0.005616027658287644
HOXA11,0.11480528775067372,0.5584479323787159,0.6762479089562833
POLR2J,-1.1622552657341338,0.000736833805647892,0.006160102257034665
DHX33,-0.2667582216410729,0.14102731845919672,0.25300071823555614
MEOX1,1.4196352627207027,3.381128381013683e-07,1.5339484921357338e-05
THSD7A,0.6885198537123489,0.0015245251912823221,0.010535898611523313
LIG3,0.03648338073984281,0.8846737258040935,0.9247307655037388
RPAP3,0.057680371174262834,0.783736400853268,0.8540194201013327
ACSM3,0.5702849163737378,0.03608001215080579,0.09704712047736815
AC004381.6,-0.2513115806901216,0.3199633255072228,0.4567942236119967
CIAPIN1,-0.4821061357139107,0.06948512605085624,0.1521254970991404
FAM214B,-0.20803424682102234,0.31795519596339283,0.45480937387873455
COPZ2,0.23855128045447405,0.39073363444719444,0.5252467784843632
PRKAR2B,0.7745207347275771,0.022753831042498777,0.0714095091024579
MSL3,-0.015248540318048676,0.945407656501644,0.9674543319944013
CREBBP,0.25780539335705743,0.2216110130692402,0.3505970828415732
BZRAP1,0.18134636049739417,0.48192522313888897,0.611125820849605
MPO,0.2055102977403203,0.3597778963652186,0.49419630564592315
PON1,0.4531781091561551,0.0184626769264402,0.062280929749839696
GCFC2,-0.5697391013702711,0.004539782433290671,0.02355202564385026
WDR54,-0.4441930059941561,0.020205846094177193,0.0659355568762418
CROT,0.6467054641198562,0.021196130488833315,0.06802716901265977
ABCB4,0.8620171678672844,0.001052345518942961,0.007974004425243516
KMT2E,0.09874708107058883,0.606903030844799,0.7170190054990307
RHBDD2,-0.23268097932855092,0.420486143291955,0.5528410076471314
SOX8,-0.05907895222172632,0.8667117962871448,0.9135770536413194
IBTK,0.25160377547740653,0.09513086017544027,0.18973305823221184
ZNF195,-0.46592203867373927,0.020361985632929586,0.06623000279181401
MYCBP2,0.22837247746465117,0.3159000259854143,0.4528501228427144
FBXL3,0.03654487366586556,0.8709167331412759,0.9159437207050426
ITGAL,-0.45374355832123925,0.017415750020192074,0.059853239381980214
PDK2,0.6994413353637698,0.016268411127583076,0.0571213359263041
ITGA3,0.3801464977727056,0.054005149601591196,0.12707806275851913
ZFX,0.03743287580024468,0.861304963249385,0.9100734530984775
LAMP2,-0.5420646951635995,0.024687073944705082,0.07552291509008922
GGNBP2,-0.0072408109301198564,0.9592816123862691,0.9763327009540302
ITGA2B,0.34366004345926426,0.2030113977917385,0.32901564977166037
ASB4,0.7938463058810277,0.00115184119536344,0.00852973630965896
GDE1,-0.24215316802949705,0.22703055126392896,0.35640668843642404
C19orf60,-0.21773665798058506,0.13460058606795652,0.2448582133425417
CRLF1,-0.17723219924838185,0.5711877384481,0.6865457309568754
OSBPL7,-0.19829663630427374,0.4172521152804103,0.5499601018631315
TMEM98,0.15646080370311033,0.45911464176422645,0.5899044924036199
YBX2,-0.1051131920878956,0.7316816666763735,0.8148807567805472
KRT33A,0.19314633704670445,0.02800139701179896,0.08160847986414377
ABCC8,1.4588623158171927,4.031126016173943e-05,0.0007001598454796724
CCL18,-0.729148462260762,0.028859437618861755,0.08342573181877853
CCL3,-0.6887487832158485,0.00808147142823985,0.03543224536753153
SYNRG,-0.13988338704619796,0.4433863919694305,0.5745478747240614
CACNG3,0.39488782382973836,0.02712539964028891,0.0801479391312153
